iter	Passed	Remaining
725	7213	2722
726	7223	2712
727	7232	2702
728	7242	2692
729	7252	2682
730	7261	2672
731	7272	2662
732	7282	2652
733	7291	2642
734	7301	2632
735	7311	2622
736	7321	2612
737	7331	2602
738	7342	2593
739	7352	2583
740	7362	2573
741	7373	2563
742	7383	2553
743	7393	2543
744	7403	2534
745	7414	2524
746	7424	2514
747	7434	2504
748	7443	2494
749	7454	2484
750	7464	2474
751	7474	2464
752	7486	2455
753	7499	2446
754	7511	2437
755	7523	2428
756	7534	2418
757	7546	2409
758	7558	2400
759	7570	2390
760	7582	2381
761	7592	2371
762	7603	2361
763	7614	2351
764	7624	2342
765	7636	2332
766	7647	2323
767	7659	2313
768	7671	2304
769	7683	2295
770	7695	2285
771	7707	2276
772	7719	2266
773	7730	2257
774	7742	2247
775	7754	2238
776	7765	2228
777	7776	2219
778	7788	2209
779	7800	2200
780	7812	2190
781	7824	2181
782	7838	2172
783	7850	2162
784	7862	2153
785	7875	2144
786	7887	2134
787	7899	2125
788	7913	2116
789	7926	2107
790	7939	2097
791	7952	2088
792	7963	2078
793	7982	2070
794	7995	2061
795	8009	2052
796	8020	2042
797	8034	2033
798	8048	2024
799	8060	2015
800	8071	2005
801	8084	1996
802	8097	1986
803	8112	1977
804	8127	1968
805	8139	1959
806	8151	1949
807	8162	1939
808	8173	1929
809	8185	1919
810	8196	1910
811	8208	1900
812	8220	1890
813	8233	1881
814	8244	1871
815	8254	1861
816	8265	1851
817	8275	1841
818	8285	1831
819	8295	1820
820	8305	1810
821	8315	1800
822	8325	1790
823	8336	1780
824	8347	1770
825	8357	1760
826	8368	1750
827	8379	1740
828	8389	1730
829	8400	1720
830	8412	1710
831	8422	1700
832	8434	1690
833	8445	1681
834	8455	1670
835	8465	1660
836	8476	1650
837	8487	1640
838	8497	1630
839	8507	1620
840	8518	1610
841	8528	1600
842	8538	1590
843	8549	1580
844	8560	1570
845	8571	1560
846	8582	1550
847	8593	1540
848	8604	1530
849	8615	1520
850	8627	1510
851	8638	1500
852	8649	1490
853	8659	1480
854	8671	1470
855	8681	1460
856	8691	1450
857	8702	1440
858	8713	1430
859	8723	1420
860	8733	1409
861	8744	1399
862	8755	1389
863	8764	1379
864	8775	1369
865	8784	1359
866	8794	1349
867	8804	1338
868	8814	1328
869	8823	1318
870	8835	1308
871	8845	1298
872	8857	1288
873	8867	1278
874	8878	1268
875	8888	1258
876	8900	1248
877	8910	1238
878	8921	1228
879	8931	1217
880	8943	1207
881	8953	1197
882	8963	1187
883	8972	1177
884	8983	1167
885	8993	1157
886	9004	1147
887	9014	1136
888	9024	1126
889	9035	1116
890	9045	1106
891	9056	1096
892	9067	1086
893	9081	1076
894	9093	1066
895	9108	1057
896	9120	1047
897	9133	1037
898	9144	1027
899	9155	1017
900	9165	1007
901	9175	996
902	9186	986
903	9196	976
904	9207	966
905	9218	956
906	9229	946
907	9240	936
908	9251	926
909	9262	916
910	9272	905
911	9283	895
912	9295	885
913	9306	875
914	9318	865
915	9329	855
916	9339	845
917	9349	835
918	9360	825
919	9371	814
920	9382	804
921	9392	794
922	9404	784
923	9416	774
924	9427	764
925	9437	754
926	9449	744
927	9460	733
928	9471	723
929	9483	713
930	9493	703
931	9504	693
932	9516	683
933	9527	673
934	9538	663
935	9548	652
936	9559	642
937	9569	632
938	9579	622
939	9590	612
940	9600	601
941	9609	591
942	9620	581
943	9631	571
944	9640	561
945	9650	550
946	9660	540
947	9670	530
948	9681	520
949	9693	510
950	9703	499
951	9713	489
952	9723	479
953	9735	469
954	9745	459
955	9756	449
956	9767	438
957	9777	428
958	9788	418
959	9799	408
960	9810	398
961	9821	387
962	9831	377
963	9840	367
964	9851	357
965	9861	347
966	9871	336
967	9881	326
968	9893	316
969	9903	306
970	9914	296
971	9924	285
972	9935	275
973	9945	265
974	9957	255
975	9968	245
976	9978	234
977	9988	224
978	9999	214
979	10009	204
980	10019	194
981	10030	183
982	10041	173
983	10051	163
984	10062	153
985	10078	143
986	10091	132
987	10101	122
988	10111	112
989	10122	102
990	10132	92
991	10144	81
992	10154	71
993	10165	61
994	10176	51
995	10187	40
996	10199	30
997	10209	20
998	10221	10
999	10231	0
